Price,Close,High,Low,Open,Volume,MACD,MACD_Signal,MACD_Hist,K,D,J
Ticker,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW,,,,,,
Date,,,,,,,,,,,
2024-01-02,583.120361328125,583.120361328125,579.1870030729606,580.1703426367517,26059058,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,568.3702392578125,575.2536158578206,566.4035602292388,574.2702763435337,37106763,-1.1766479144408777,-0.23532958288817554,-0.9413183315527022,0.0,0.0,0.0
2024-01-04,570.3369140625,571.3202535695043,567.3868955414871,570.3369140625,15309129,-1.9282282286352483,-0.5739093120375901,-1.3543189165976584,0.0,0.0,0.0
2024-01-05,566.403564453125,570.3369225396051,564.436885409885,568.370243496365,18158971,-2.808870572086562,-1.0209015640473846,-1.7879690080391772,0.0,0.0,0.0
2024-01-08,573.2869262695312,575.2536052618796,569.3535682848346,572.3035867733571,17761275,-2.917722513116132,-1.400265753861134,-1.5174567592549981,0.0,0.0,0.0
2024-01-09,576.2369995117188,579.1870182805501,573.2869807428874,578.2036786909397,22501510,-2.7344214958779958,-1.6670969022645066,-1.0673245936134892,0.0,0.0,0.0
2024-01-10,574.270263671875,576.2369426570526,570.3369057015196,571.3202451941085,13037716,-2.7165386975635784,-1.876985261324321,-0.8395534362392574,0.0,0.0,0.0
2024-01-11,576.2369995117188,579.1870182805501,573.2869807428874,576.2369995117188,23997409,-2.5146796438816637,-2.0045241378357894,-0.5101555060458742,0.0,0.0,0.0
2024-01-12,574.270263671875,578.2036216422302,571.3202451941085,571.3202451941085,16496053,-2.4847612540742148,-2.1005715610834743,-0.38418969299074046,52.63141775663931,52.63141775663931,52.63141775663931
2024-01-15,576.2369995117188,580.1703578701605,575.2536599221083,580.1703578701605,21143076,-2.2761139443050524,-2.13568003772779,-0.1404339065772624,63.815739884275736,58.22357882045752,75.00006201191218
2024-01-16,570.3369140625,578.2036301185345,569.3535745554957,571.3202535695043,27223860,-2.5573672964827665,-2.2200174894787854,-0.3373498070039811,50.65779519707324,54.44068700876538,43.09201157368895
2024-01-17,571.3202514648438,574.2702699749892,568.3702329546983,573.2869304716074,42592335,-2.6701358303782854,-2.3100411576586857,-0.3600946727195997,47.20380815098505,50.82224757987521,39.966929293204714
2024-01-18,578.20361328125,579.1869527596194,575.2535948461416,576.236934324511,27209996,-2.1789582595531556,-2.2838245780375797,0.10486631848442407,65.26832878285562,58.045288181365414,79.71440998583601
2024-01-19,615.5704956054688,616.5538350553177,603.7704222072808,614.5871561556197,161106401,1.2115328233335276,-1.5847530977633584,2.796285921096886,81.6137555728888,69.8295218771271,105.1822229644122
2024-01-22,615.5704956054688,622.4538717544117,612.6204772559217,622.4538717544117,65168775,3.8540938390045767,-0.4969837104097713,4.351077549414348,84.44323778208562,77.13637982960637,99.05695368704411
2024-01-23,617.5371704101562,618.5205098534846,611.6371337501866,618.5205098534846,41072439,6.037440843234663,0.8099012003191155,5.227539642915547,87.6761579592596,82.40626889443298,98.2159360889128
2024-01-24,616.5538330078125,619.5038513475628,613.6038146680622,617.5371724543959,26635005,7.6007947336185,2.1680799069789924,5.432714826639508,88.38352851155881,85.3948987029959,94.36078812868465
2024-01-25,631.3038940429688,631.3038940429688,622.4538394535813,624.4205182512229,52243347,9.915668949873293,3.7175977155578526,6.1980712343154405,94.1917642557794,89.79333147938766,102.9886298085629
2024-01-26,633.2706298828125,635.2373088576038,628.3539324458342,633.2706298828125,41153025,11.773208372056274,5.3287198468575365,6.444488525198738,95.62529368938297,92.70931258438532,101.45725589937831
2024-01-29,637.2039794921875,637.2039794921875,633.2706215940876,635.2373005431375,27825490,13.40814938822325,6.94460575513068,6.463543633092571,97.81264684469149,95.2609797145384,102.91598110499768
2024-01-30,631.3038940429688,636.2205910370728,631.3038940429688,631.3038940429688,36161825,14.065624571456397,8.368809518395825,5.696815053060572,94.14437926095842,94.70267948774841,93.02777880737841
2024-01-31,617.5371704101562,626.3872254001108,615.5704915234996,623.4372070701259,41277950,13.322248262010703,9.359497267118801,3.962750994891902,67.66040895389878,81.1815442208236,40.61813842004915
2024-02-01,617.5371704101562,617.5371704101562,608.6871154202017,614.5871520801714,44946369,12.588010432536066,10.005199900202255,2.582810532333811,49.34743485616311,65.26448953849335,17.513325491502627
2024-02-02,624.420654296875,624.420654296875,617.5372770054133,622.4539750707431,26334815,12.418409589209773,10.487841838003758,1.9305677512060146,52.26009375080193,58.76229164464764,39.25569796311051
2024-02-05,635.2373046875,636.2206441684403,627.3705888399768,634.2539652065595,44017740,13.006877796235244,10.991649029650057,2.015228766585187,72.68178061491213,65.72203612977988,86.60126958517662
2024-02-15,685.3876342773438,697.1877083251603,681.4542762614049,697.1877083251603,112945296,17.32029795082974,12.257378813885994,5.062919136943746,79.67422646911956,72.69813129944973,93.62641680845923
2024-02-16,671.620849609375,687.3542809325814,671.620849609375,685.3876020171806,44232811,19.40417082834267,13.686737216777331,5.71743361156534,75.3926570582934,74.04539417887156,78.08718281713706
2024-02-19,666.7042236328125,670.6375818843335,662.7708653812914,662.7708653812914,34408673,20.423495132214384,15.034088799864742,5.389406332349642,70.47413617328064,72.2597651760761,66.90287816768972
